#scaffold	subcluster_id	asmbl_acc	cdna_accs	alignment_description
gi|68712	47	asmbl_69	c2155_g0_i1,c2252_g0_i1,c2279_g0_i1,gi|48981370|gb|BP565604.1|BP565604,gi|49167771|gb|BP600303.1|BP600303,gi|49260993|gb|BP609811.1|BP609811,gi|49271395|gb|BP620213.1|BP620213,gi|19840881|gb|AV806896.1|AV806896,gi|19858360|gb|AV816505.1|AV816505,gi|48982521|gb|BP566755.1|BP566755,gi|48984996|gb|BP569230.1|BP569230,gi|48988253|gb|BP572487.1|BP572487,gi|48989949|gb|BP574183.1|BP574183,gi|48990971|gb|BP575205.1|BP575205,gi|48991681|gb|BP575915.1|BP575915,gi|48992299|gb|BP576533.1|BP576533,gi|48993165|gb|BP577399.1|BP577399,gi|49033327|gb|BP584117.1|BP584117,gi|49234481|gb|BP604237.1|BP604237,gi|49252826|gb|BP605313.1|BP605313,gi|49304558|gb|BP653088.1|BP653088,gi|49308283|gb|BP656813.1|BP656813,gi|58799405|gb|BP778626.1|BP778626,gi|58842306|gb|BP783127.1|BP783127,gi|59665511|gb|BP793002.1|BP793002,gi|59910018|gb|BP849045.1|BP849045,gi|59925893|gb|BP864920.1|BP864920,c579_g0_i1,c663_g0_i1,c2140_g0_i1,c2194_g0_i1,c2225_g0_i1,c2243_g0_i1,c2269_g0_i1,c2294_g0_i1,c2378_g0_i1,c2494_g0_i1,c2531_g0_i1,c2541_g0_i1,c2586_g0_i1,c2689_g0_i1,c2955_g0_i1,c2980_g0_i1,c3371_g0_i1,c3417_g0_i1,c3499_g0_i1,c4046_g0_i1,c4179_g0_i1,c1247_g0_i1,c7253_g0_i1,gi|2749054|gb|W43793.1|W43793,gi|936094|gb|T88245.1|T88245	orient(a-/s-) align: 72283(1257)-72730(810)>CT....AC<72837(809)-72962(684)>CT....AC<73043(683)-73156(570)>CT....AC<73230(569)-73331(468)>CT....AC<73424(467)-73890(1)
gi|68712	48	asmbl_70	gi|26450147|dbj|AK117531.1|,gi|19797950|gb|AU229553.1|AU229553,gi|59841155|gb|BP805076.1|BP805076,c1182_g0_i1,c320_g0_i1,c3661_g0_i1,c3776_g0_i1,gi|59853253|gb|BP817161.1|BP817161	orient(a-/s?) align: 75642(427)-76068(1)
gi|68713	49	asmbl_71	c148_g0_i1,gi|86001691|gb|DR297430.1|DR297430,gi|19866752|gb|AV824692.1|AV824692,gi|45680106|gb|BT011796.1|,gi|17380625|gb|AY063726.1|,c5954_g0_i1,c746_g0_i1,c2038_g0_i1,c207_g0_i1,gi|15450576|gb|AY052656.1|	orient(a-/s?) align: 1(1289)-1289(1)
gi|68713	50	asmbl_72	gi|85919655|gb|DR240620.1|DR240620,c5399_g0_i1,c6740_g0_i1,gi|85919656|gb|DR240621.1|DR240621,gi|85919657|gb|DR240622.1|DR240622,gi|86084285|gb|DR380044.1|DR380044,gi|21403500|gb|AY084790.1|,gi|26983879|gb|BT002359.1|,c5398_g0_i1,c5400_g0_i1,c1000_g0_i1,c1212_g0_i1,c1153_g0_i1,c1520_g0_i1,gi|2576679|gb|AA394434.1|AA394434,gi|37430051|gb|CF653014.1|CF653014	orient(a+/s+) align: 3407(1)-3589(183)>GT....AG<3795(184)-3978(367)>GT....AG<4072(368)-4205(501)>GT....AG<4304(502)-4489(687)>GT....AG<4602(688)-4851(937)
gi|68713	50	asmbl_73	gi|85919655|gb|DR240620.1|DR240620,c5399_g0_i1,c7292_g0_i1,gi|85919656|gb|DR240621.1|DR240621,gi|9781666|gb|BE523688.1|BE523688,c5398_g0_i1,c1848_g0_i1,gi|42468699|emb|BX821676.1|CNS0A96D	orient(a+/s+) align: 3407(1)-3589(183)>GT....AG<3795(184)-3978(367)>GT....AG<4072(368)-4489(785)>GT....AG<4602(786)-4737(921)
gi|68713	50	asmbl_74	gi|19803303|gb|AV784513.1|AV784513,gi|20259362|gb|AY090963.1|,c929_g0_i1,c383_g0_i1,c734_g0_i1,gi|19865588|gb|AV823528.1|AV823528	orient(a+/s+) align: 3407(1)-3594(188)>GT....AG<3795(189)-3978(372)>GT....AG<4072(373)-4205(506)>GT....AG<4317(507)-4489(679)>GT....AG<4602(680)-4849(927)
gi|68713	51	asmbl_75	c7335_g0_i1,gi|9786862|gb|BE528884.1|BE528884	orient(a-/s?) align: 5936(252)-6187(1)
gi|68713	52	asmbl_76	c440_g0_i1,c2349_g0_i1,c3037_g0_i1,c3044_g0_i1,gi|42407063|emb|BX842431.1|CNS0A8GM,gi|49031623|gb|BP582413.1|BP582413,gi|19825149|gb|AV791166.1|AV791166,gi|19867452|gb|AV825392.1|AV825392,gi|42407072|emb|BX842440.1|CNS0A8OH,gi|42407088|emb|BX842456.1|CNS0A915,gi|10944319|gb|AF211171.1|AF211171,gi|49280066|gb|BP628814.1|BP628814,gi|49314748|gb|BP663278.1|BP663278,gi|49315703|gb|BP664233.1|BP664233,gi|51968623|dbj|AK175241.1|,gi|58799152|gb|BP778373.1|BP778373,gi|59924462|gb|BP863489.1|BP863489,c754_g0_i1,c1662_g0_i1,c1665_g0_i1,c1670_g0_i1,c26_g0_i1,c2755_g0_i1,c3149_g0_i1,c3369_g0_i1,c4165_g0_i1,c1252_g0_i1,c1307_g0_i1,c3096_g0_i1,c43_g0_i1,c4436_g0_i1,gi|1159509|gb|N38367.1|N38367,gi|2749369|gb|AA651124.1|AA651124,gi|2764248|gb|R65130.1|R65130,gi|49321407|gb|BP669904.1|BP669904,gi|8333239|gb|BE038223.1|BE038223	orient(a-/s-) align: 10400(1546)-10701(1245)>CT....AC<11093(1244)-11244(1093)>CT....AC<11343(1092)-11384(1051)>CT....AC<11856(1050)-11897(1009)>CT....AC<12009(1008)-12050(967)>CT....AC<12136(966)-12235(867)>CT....AC<12351(866)-12415(802)>CT....AC<12702(801)-12780(723)>CT....AC<13688(722)-14409(1)
gi|68713	52	asmbl_77	c440_g0_i1,c3037_g0_i1,c3044_g0_i1,gi|19825149|gb|AV791166.1|AV791166,gi|19867452|gb|AV825392.1|AV825392,gi|42407079|emb|BX842447.1|CNS0A8UX,gi|49280066|gb|BP628814.1|BP628814,gi|49314748|gb|BP663278.1|BP663278,gi|49315703|gb|BP664233.1|BP664233,gi|58799152|gb|BP778373.1|BP778373,gi|59924462|gb|BP863489.1|BP863489,gi|71035615|gb|DR750275.1|DR750275,gi|71035616|gb|DR750276.1|DR750276,c754_g0_i1,c1667_g0_i1,c2755_g0_i1,c3369_g0_i1,c4165_g0_i1,c4267_g0_i1,c4268_g0_i1,c1117_g0_i1,c1158_g0_i1,c1252_g0_i1,c1307_g0_i1,c3096_g0_i1,c43_g0_i1,gi|1159509|gb|N38367.1|N38367,gi|2393162|gb|AA585750.1|AA585750,gi|2596603|gb|T21923.1|T21923,gi|2749369|gb|AA651124.1|AA651124,gi|2764248|gb|R65130.1|R65130,gi|49321407|gb|BP669904.1|BP669904	orient(a-/s-) align: 10400(2017)-10701(1716)>CT....AC<11093(1715)-11244(1564)>CT....AC<11343(1563)-11897(1009)>CT....AC<12009(1008)-12050(967)>CT....AC<12136(966)-12235(867)>CT....AC<12351(866)-12415(802)>CT....AC<12702(801)-12780(723)>CT....AC<13688(722)-14409(1)
gi|68713	53	asmbl_78	gi|42469486|emb|BX819394.1|CNS0A9WS,c1882_g0_i1,c3390_g0_i1,c51_g0_i1,gi|1216645|gb|N65019.1|N65019,gi|58839727|gb|BP780548.1|BP780548	orient(a+/s+) align: 20156(1)-20474(319)>GT....AG<20561(320)-20653(412)>GT....AG<20750(413)-21045(708)>GT....AG<21186(709)-21490(1013)
gi|68713	54	asmbl_79	c2444_g0_i1,c4295_g0_i1,gi|907073|gb|H37574.1|H37574,gi|28466886|gb|BT004786.1|,gi|49160508|gb|BP593040.1|BP593040,gi|19741087|gb|AU226440.1|AU226440,gi|59928208|gb|BP867235.1|BP867235,gi|7208787|emb|AJ286348.2|ATH286348,c7231_g0_i1,c1339_g0_i1,c275_g0_i1,c4196_g0_i1,c1165_g0_i1,c1274_g0_i1,c1495_g0_i1,c7251_g0_i1,c7325_g0_i1,c7327_g0_i1,c855_g0_i1,gi|19874865|gb|AU235696.1|AU235696,gi|2597355|gb|T22840.1|T22840,gi|2759178|gb|T44381.1|T44381,gi|3450129|gb|AI100168.1|AI100168,gi|935937|gb|T88078.1|T88078,gi|9785368|gb|BE527390.1|BE527390,gi|9785608|gb|BE527630.1|BE527630	orient(a+/s?) align: 24528(1)-25260(733)
gi|68713	55	asmbl_80	gi|19844691|gb|AV810706.1|AV810706,gi|19846922|gb|AV812937.1|AV812937,gi|8715977|gb|AV544563.1|AV544563,c608_g0_i1,c724_g0_i1,c2492_g0_i1,c2558_g0_i1,c2584_g0_i1,c2634_g0_i1,c2954_g0_i1,c3443_g0_i1,c3483_g0_i1,c3668_g0_i1,c3788_g0_i1,c4089_g0_i1,c4345_g0_i1,c5114_g0_i1,c5117_g0_i1,c5122_g0_i1,c5125_g0_i1,c6652_g0_i1,c7071_g0_i1,gi|40453919|gb|CD533907.1|CD533907,gi|40454894|gb|CD534882.1|CD534882,gi|49155519|gb|BP588051.1|BP588051,gi|49262083|gb|BP610901.1|BP610901,gi|49262146|gb|BP610964.1|BP610964,gi|49269094|gb|BP617912.1|BP617912,gi|49297417|gb|BP645947.1|BP645947,gi|56913122|gb|CB252497.1|CB252497,gi|56913937|gb|CB253312.1|CB253312,gi|19802244|gb|AV783454.1|AV783454,gi|59854393|gb|BP818293.1|BP818293,gi|59905030|gb|BP844059.1|BP844059,gi|59911781|gb|BP850808.1|BP850808,gi|85905237|gb|DR226195.1|DR226195,gi|85905245|gb|DR226203.1|DR226203,gi|19844515|gb|AV810530.1|AV810530,gi|19846387|gb|AV812402.1|AV812402,gi|86077472|gb|DR373229.1|DR373229,gi|8677930|gb|AV518403.1|AV518403,gi|8678592|gb|AV519065.1|AV519065,gi|8684717|gb|AV525189.1|AV525189,gi|8700383|gb|AV538627.1|AV538627,gi|8703894|gb|AV542134.1|AV542134,gi|8721848|gb|AV550435.1|AV550435,gi|8722345|gb|AV550932.1|AV550932,gi|8724304|gb|AV552891.1|AV552891,gi|8725886|gb|AV554473.1|AV554473,gi|8734265|gb|AV562839.1|AV562839,gi|19864694|gb|AV822642.1|AV822642,gi|19872969|gb|AV830909.1|AV830909,gi|13877658|gb|AF370588.1|AF370588,gi|13878154|gb|AF370340.1|,gi|21404736|gb|AY086026.1|,gi|23297153|gb|AY142648.1|,gi|14580048|gb|BE662785.1|BE662785,gi|2759362|gb|T44564.1|T44564,gi|32885690|gb|CB260917.1|CB260917,gi|3449570|gb|AI099831.1|AI099831,gi|1565700|gb|AA067581.1|AA067581,gi|40451718|gb|CD531706.1|CD531706,gi|48982646|gb|BP566880.1|BP566880,gi|48988441|gb|BP572675.1|BP572675,gi|49155473|gb|BP588005.1|BP588005,gi|49155531|gb|BP588063.1|BP588063,gi|49167498|gb|BP600030.1|BP600030,gi|49253910|gb|BP606397.1|BP606397,gi|49254850|gb|BP607337.1|BP607337,gi|49260497|gb|BP609315.1|BP609315,gi|49260779|gb|BP609597.1|BP609597,gi|49260831|gb|BP609649.1|BP609649,gi|49262166|gb|BP610984.1|BP610984,gi|49266594|gb|BP615412.1|BP615412,gi|49267610|gb|BP616428.1|BP616428,gi|49270951|gb|BP619769.1|BP619769,gi|49284092|gb|BP632840.1|BP632840,gi|49288591|gb|BP637339.1|BP637339,gi|49294299|gb|BP642829.1|BP642829,gi|49304442|gb|BP652972.1|BP652972,gi|56913126|gb|CB252501.1|CB252501,gi|56913881|gb|CB253256.1|CB253256,gi|56915927|gb|CB255302.1|CB255302,gi|56915931|gb|CB255306.1|CB255306,gi|58799984|gb|BP779205.1|BP779205,gi|58841649|gb|BP782470.1|BP782470,gi|59262508|gb|BP786174.1|BP786174,gi|59264599|gb|BP787241.1|BP787241,gi|59267772|gb|BP788786.1|BP788786,gi|59271953|gb|BP790888.1|BP790888,gi|59665779|gb|BP793265.1|BP793265,gi|59841579|gb|BP805500.1|BP805500,gi|59847505|gb|BP811426.1|BP811426,gi|59854300|gb|BP818200.1|BP818200,gi|59876684|gb|BP823678.1|BP823678,gi|59897945|gb|BP836974.1|BP836974,gi|59915906|gb|BP854933.1|BP854933,gi|19825046|gb|AV791063.1|AV791063,gi|7611160|gb|AV440788.1|AV440788,gi|7613077|gb|AV442663.1|AV442663,gi|19826376|gb|AV792393.1|AV792393,gi|85905236|gb|DR226194.1|DR226194,gi|85905238|gb|DR226196.1|DR226196,gi|85905239|gb|DR226197.1|DR226197,gi|85905241|gb|DR226199.1|DR226199,gi|85905242|gb|DR226200.1|DR226200,gi|85905243|gb|DR226201.1|DR226201,gi|85905244|gb|DR226202.1|DR226202,gi|85905246|gb|DR226204.1|DR226204,gi|85905249|gb|DR226207.1|DR226207,gi|85905250|gb|DR226208.1|DR226208,c613_g0_i1,c625_g0_i1,c629_g0_i1,c6788_g0_i1,c6794_g0_i1,c6854_g0_i1,c6978_g0_i1,c7005_g0_i1,c7027_g0_i1,c7078_g0_i1,c7090_g0_i1,c7109_g0_i1,c7193_g0_i1,c825_g0_i1,c94_g0_i1,c99_g0_i1,c1019_g0_i1,c1093_g0_i1,c120_g0_i1,c1278_g0_i1,c1450_g0_i1,c1490_g0_i1,c153_g0_i1,c1598_g0_i1,c1625_g0_i1,c1637_g0_i1,c2156_g0_i1,c2227_g0_i1,c2407_g0_i1,c2408_g0_i1,c2409_g0_i1,c2564_g0_i1,c2581_g0_i1,c2585_g0_i1,c2595_g0_i1,c2598_g0_i1,c2599_g0_i1,c2647_g0_i1,c2664_g0_i1,c2682_g0_i1,c2797_g0_i1,c2830_g0_i1,c2876_g0_i1,c2895_g0_i1,c3223_g0_i1,c3224_g0_i1,c3235_g0_i1,c3236_g0_i1,c3264_g0_i1,c3376_g0_i1,c3411_g0_i1,c3453_g0_i1,c3466_g0_i1,c3504_g0_i1,c372_g0_i1,c3724_g0_i1,c3790_g0_i1,c3832_g0_i1,c3949_g0_i1,c4002_g0_i1,c4056_g0_i1,c438_g0_i1,c4320_g0_i1,c452_g0_i1,c5112_g0_i1,c5113_g0_i1,c5115_g0_i1,c5118_g0_i1,c5119_g0_i1,c5120_g0_i1,c5121_g0_i1,c5126_g0_i1,c1167_g0_i1,c1498_g0_i1,c1565_g0_i1,c1605_g0_i1,c2535_g0_i1,c2887_g0_i1,c3207_g0_i1,c3229_g0_i1,c3263_g0_i1,c3312_g0_i1,c4006_g0_i1,c5116_g0_i1,c5123_g0_i1,c5124_g0_i1,c6732_g0_i1,gi|2597597|gb|T43008.1|T43008,gi|3450365|gb|AI100404.1|AI100404,gi|40449386|gb|CD529374.1|CD529374,gi|40452176|gb|CD532164.1|CD532164,gi|49252244|gb|BP604733.1|BP604733,gi|49296440|gb|BP644970.1|BP644970,gi|56087146|gb|BP562343.2|BP562343,gi|56913583|gb|CB252958.1|CB252958,gi|5843598|gb|AI996693.1|AI996693,gi|59905297|gb|BP844326.1|BP844326,gi|85905240|gb|DR226198.1|DR226198,gi|85905247|gb|DR226205.1|DR226205,gi|85905248|gb|DR226206.1|DR226206,gi|86083763|gb|DR379522.1|DR379522	orient(a-/s?) align: 29535(1532)-31066(1)
gi|68713	56	asmbl_81	gi|86088298|gb|DR384057.1|DR384057,c1375_g0_i1,gi|86088373|gb|DR384132.1|DR384132,gi|2995131|emb|X83370.1|ATCD2,gi|42466928|emb|BX819831.1|CNS0A80K,gi|19741604|gb|AU226957.1|AU226957,gi|58841596|gb|BP782417.1|BP782417,gi|59264932|gb|BP787403.1|BP787403,gi|59664692|gb|BP792240.1|BP792240,gi|59906328|gb|BP845355.1|BP845355,gi|59925001|gb|BP864028.1|BP864028,c6783_g0_i1,c6785_g0_i1,c1727_g0_i1,c286_g0_i1,c3408_g0_i1,c3493_g0_i1,c4018_g0_i1,c4171_g0_i1,c3265_g0_i1,c3455_g0_i1,c6602_g0_i1,c862_g0_i1,gi|19875308|gb|AU236139.1|AU236139,gi|56916095|gb|CB255470.1|CB255470,gi|86069884|gb|DR365641.1|DR365641	orient(a+/s+) align: 38146(1)-38730(585)>GT....AG<38971(586)-39057(672)>GT....AG<39140(673)-39238(771)>GT....AG<39341(772)-39536(967)>GT....AG<39654(968)-39781(1095)>GT....AG<39872(1096)-40480(1704)
gi|68713	57	asmbl_82	gi|8692684|gb|AV532401.1|AV532401,c6921_g0_i1	orient(a-/s?) align: 44229(527)-44755(1)
gi|68713	58	asmbl_83	gi|8727229|gb|AV555814.1|AV555814,c1990_g0_i1,c2392_g0_i1,c2422_g0_i1,c3030_g0_i1,c4066_g0_i1,gi|42468252|emb|BX820729.1|CNS0A8RK,gi|49314885|gb|BP663415.1|BP663415,gi|59916140|gb|BP855167.1|BP855167,gi|85936136|gb|DR257108.1|DR257108,gi|19842650|gb|AV808665.1|AV808665,gi|9786614|gb|BE528636.1|BE528636,gi|19871853|gb|AV829793.1|AV829793,gi|20466012|gb|AY096578.1|,gi|42406908|emb|BX842276.1|CNS0A001,gi|42467646|emb|BX820956.1|CNS0A8K5,gi|42532856|gb|BX838773.1|BX838773,gi|48984668|gb|BP568902.1|BP568902,gi|17979344|gb|AY070402.1|,gi|48992663|gb|BP576897.1|BP576897,gi|48993703|gb|BP577937.1|BP577937,gi|49035480|gb|BP585914.1|BP585914,gi|49157493|gb|BP590025.1|BP590025,gi|49313778|gb|BP662308.1|BP662308,gi|58800004|gb|BP779225.1|BP779225,gi|58842729|gb|BP783550.1|BP783550,gi|59666961|gb|BP794447.1|BP794447,gi|59839421|gb|BP803342.1|BP803342,gi|59912698|gb|BP851725.1|BP851725,gi|59918075|gb|BP857102.1|BP857102,gi|59924328|gb|BP863355.1|BP863355,gi|19824564|gb|AV790581.1|AV790581,c5503_g0_i1,c592_g0_i1,c7128_g0_i1,c7334_g0_i1,c951_g0_i1,c1661_g0_i1,c1769_g0_i1,c1816_g0_i1,c2187_g0_i1,c225_g0_i1,c2284_g0_i1,c2302_g0_i1,c3039_g0_i1,c3377_g0_i1,c3423_g0_i1,c3437_g0_i1,c3514_g0_i1,c3637_g0_i1,c4092_g0_i1,c4107_g0_i1,c4163_g0_i1,c431_g0_i1,c1783_g0_i1,c2201_g0_i1,c5502_g0_i1,c7323_g0_i1,c813_g0_i1,gi|42467818|emb|BX821967.1|CNS0A8B3,gi|48985756|gb|BP569990.1|BP569990,gi|59260794|gb|BP785313.1|BP785313,gi|85936135|gb|DR257107.1|DR257107,gi|9785360|gb|BE527382.1|BE527382	orient(a-/s-) align: 45720(1894)-46039(1575)>CT....AC<46178(1574)-46306(1446)>CT....AC<46412(1445)-46492(1365)>CT....AC<46595(1364)-46699(1260)>CT....AC<46775(1259)-46891(1143)>CT....AC<46983(1142)-47123(1002)>CT....AC<47244(1001)-47318(927)>CT....AC<47398(926)-47499(825)>CT....AC<47587(824)-47682(729)>CT....AC<47786(728)-47897(617)>CT....AC<47980(616)-48053(543)>CT....AC<48125(542)-48212(455)>CT....AC<48291(454)-48744(1)
gi|68713	59	asmbl_84	gi|85912597|gb|DR233562.1|DR233562,gi|85912600|gb|DR233565.1|DR233565,c347_g0_i1,c5252_g0_i1,c5257_g0_i1,gi|40452631|gb|CD532619.1|CD532619,gi|85912594|gb|DR233559.1|DR233559,gi|85912595|gb|DR233560.1|DR233560,gi|85912598|gb|DR233563.1|DR233563,gi|85912599|gb|DR233564.1|DR233564,gi|85912601|gb|DR233566.1|DR233566,gi|86079214|gb|DR374971.1|DR374971,gi|8702506|gb|AV540748.1|AV540748,gi|8704829|gb|AV543069.1|AV543069,gi|26452128|dbj|AK118552.1|,gi|56915575|gb|CB254950.1|CB254950,gi|5843956|gb|AI997051.1|AI997051,gi|19799434|gb|AU230724.1|AU230724,gi|59878818|gb|BP825632.1|BP825632,c5251_g0_i1,c5254_g0_i1,c5255_g0_i1,c5256_g0_i1,c5258_g0_i1,c6679_g0_i1,c7012_g0_i1,c1204_g0_i1,c1615_g0_i1,c3260_g0_i1,c3319_g0_i1,c3850_g0_i1,c1029_g0_i1,c1685_g0_i1,c3259_g0_i1,c5253_g0_i1,c5259_g0_i1,c6990_g0_i1,c916_g0_i1,gi|19878588|gb|AU239419.1|AU239419,gi|21405906|gb|AY087182.1|,gi|42455334|emb|BX842103.1|CNS09Y93,gi|56915571|gb|CB254946.1|CB254946,gi|85912596|gb|DR233561.1|DR233561,gi|85912602|gb|DR233567.1|DR233567	orient(a-/s-) align: 49276(1254)-49696(834)>CT....AC<50080(833)-50351(562)>CT....AC<52225(561)-52326(460)>CT....AC<52427(459)-52885(1)
gi|68713	59	asmbl_85	gi|85912597|gb|DR233562.1|DR233562,gi|85912600|gb|DR233565.1|DR233565,c5252_g0_i1,c5257_g0_i1,gi|40452631|gb|CD532619.1|CD532619,gi|85912594|gb|DR233559.1|DR233559,gi|85912595|gb|DR233560.1|DR233560,gi|85912598|gb|DR233563.1|DR233563,gi|85912599|gb|DR233564.1|DR233564,gi|85912601|gb|DR233566.1|DR233566,gi|8702506|gb|AV540748.1|AV540748,gi|42468134|emb|BX819558.1|CNS0A90C,gi|56915575|gb|CB254950.1|CB254950,gi|59878818|gb|BP825632.1|BP825632,c5251_g0_i1,c5254_g0_i1,c5255_g0_i1,c5256_g0_i1,c5258_g0_i1,c1615_g0_i1,c1806_g0_i1,c3260_g0_i1,c3850_g0_i1,c5253_g0_i1,c5259_g0_i1,c6990_g0_i1,c916_g0_i1,gi|19878588|gb|AU239419.1|AU239419,gi|85912596|gb|DR233561.1|DR233561,gi|85912602|gb|DR233567.1|DR233567	orient(a-/s-) align: 49277(1636)-50351(562)>CT....AC<52225(561)-52326(460)>CT....AC<52427(459)-52885(1)
gi|68713	60	asmbl_86	gi|8697386|gb|AV537103.1|AV537103,c1902_g0_i1,c1960_g0_i1,c2353_g0_i1,gi|2763815|gb|T88181.1|T88181,gi|32880431|gb|CB255658.1|CB255658,c6982_g0_i1,gi|3883121|gb|AF082299.1|AF082299,gi|42468611|emb|BX821420.1|CNS0A97M,gi|42530469|gb|BX836386.1|BX836386,gi|48994041|gb|BP578275.1|BP578275,gi|49254652|gb|BP607139.1|BP607139,gi|56913609|gb|CB252984.1|CB252984,gi|8696445|gb|AV536162.1|AV536162,gi|8696653|gb|AV536370.1|AV536370,gi|8700993|gb|AV539236.1|AV539236,gi|8720445|gb|AV549032.1|AV549032,gi|19868667|gb|AV826607.1|AV826607,gi|20260015|gb|AY093356.1|,gi|32885100|gb|CB260327.1|CB260327,gi|1053445|gb|H76194.1|H76194,gi|396652|gb|Z25516.1|Z25516,gi|396653|gb|Z25517.1|Z25517,gi|42469743|emb|BX821419.1|CNS0A9Z2,gi|17065299|gb|AY062726.1|,gi|48983080|gb|BP567314.1|BP567314,gi|48983629|gb|BP567863.1|BP567863,gi|48987863|gb|BP572097.1|BP572097,gi|49031812|gb|BP582602.1|BP582602,gi|49282299|gb|BP631047.1|BP631047,gi|56913040|gb|CB252415.1|CB252415,gi|56913607|gb|CB252982.1|CB252982,gi|56915190|gb|CB254565.1|CB254565,gi|59905710|gb|BP844739.1|BP844739,gi|19829709|gb|AV795726.1|AV795726,c6951_g0_i1,c6955_g0_i1,c6964_g0_i1,c6967_g0_i1,c7062_g0_i1,c771_g0_i1,c932_g0_i1,c1304_g0_i1,c1408_g0_i1,c1444_g0_i1,c16_g0_i1,c1537_g0_i1,c1542_g0_i1,c1840_g0_i1,c201_g0_i1,c2163_g0_i1,c2171_g0_i1,c2307_g0_i1,c2560_g0_i1,c2778_g0_i1,c3222_g0_i1,c3230_g0_i1,c3231_g0_i1,c3252_g0_i1,c4009_g0_i1,c482_g0_i1,c1266_g0_i1,c1541_g0_i1,c2221_g0_i1,c3237_g0_i1,c3309_g0_i1,gi|2758089|gb|T42841.1|T42841,gi|56914088|gb|CB253463.1|CB253463,gi|5843393|gb|AI996408.1|AI996408,gi|8697529|gb|AV537246.1|AV537246	orient(a+/s?) align: 55407(1)-56089(683)
gi|68713	61	asmbl_87	c3142_g0_i1,gi|51870304|gb|BT015531.1|,c1370_g0_i1,gi|29649502|gb|AY231426.1|	orient(a+/s?) align: 60167(1)-61192(1026)
gi|68713	62	asmbl_88	gi|86082965|gb|DR378724.1|DR378724,gi|19876622|gb|AU237453.1|AU237453,gi|44681385|gb|BT011627.1|,gi|45773911|gb|BT012273.1|,gi|49264469|gb|BP613287.1|BP613287,gi|19743171|gb|AU228524.1|AU228524,gi|58798439|gb|BP777660.1|BP777660,gi|59264143|gb|BP787011.1|BP787011,gi|59925209|gb|BP864236.1|BP864236,gi|7611796|gb|AV441409.1|AV441409,c6724_g0_i1,c881_g0_i1,c2026_g0_i1,c2045_g0_i1,c2615_g0_i1,c308_g0_i1,c3363_g0_i1,c3451_g0_i1,c4173_g0_i1,c4331_g0_i1,c5721_g0_i1,gi|85986909|gb|DR282648.1|DR282648	orient(a-/s-) align: 61376(1757)-61717(1416)>CT....AC<61800(1415)-62072(1143)>CT....AC<62145(1142)-62274(1013)>CT....AC<62370(1012)-62692(690)>CT....AC<62783(689)-63004(468)>CT....AC<63090(467)-63399(158)>CT....AC<63583(157)-63739(1)
